################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.2226458825546127E-01 a       245     0    13     1     5
 -2.7748053628294872E-01 a       246     0    13     1     6
 -2.8033358167921207E-01 a       247     0    13     1     7
  1.7665591783470880E-01 a       248     0    13     1     8
 -3.7220181752400334E-02 a       249     0    13     1     9
  2.5018663559311344E-01 a       250     0    13     1    10
  1.8674422709099237E-01 a       251     0    13     1    11
  6.9693197111113228E-02 a       252     0    13     1    12
 -1.6425739663906824E-01 a       253     0    13     1    13
  1.6185950199695098E-01 a       254     0    13     1    14
  5.3197388418685404E-02 a       255     0    13     1    15
  2.7953486741509709E-01 a       256     0    13     1    16
 -3.1800689703880844E-03 a       257     0    13     1    17
 -3.4486125426980119E-01 a       258     0    13     1    18
  3.7699887212578898E-01 a       259     0    13     1    19
 -2.4993868674447214E-01 a       260     0    13     1    20
 -5.7243242218291446E-01 a       261     0    14     1     1
 -2.1756985959805611E-01 a       262     0    14     1     2
  7.3296550258688725E-02 a       263     0    14     1     3
  5.5588195517045602E-01 a       264     0    14     1     4
 -2.2519061576244497E-02 a       265     0    14     1     5
  1.9229583466767339E-01 a       266     0    14     1     6
  2.1025562567295066E-02 a       267     0    14     1     7
  4.4985983970588485E-02 a       268     0    14     1     8
  4.6372021711253880E-01 a       269     0    14     1     9
  4.8037767572584195E-01 a       270     0    14     1    10
  5.4054636814797281E-02 a       271     0    14     1    11
 -8.7308257834534064E-01 a       272     0    14     1    12
 -2.8704156279840853E-01 a       273     0    14     1    13
 -4.0162622208330795E-01 a       274     0    14     1    14
  1.7211725373864467E-01 a       275     0    14     1    15
  1.6783268234966572E-01 a       276     0    14     1    16
  9.7865659440800709E-02 a       277     0    14     1    17
  6.4756508810843980E-02 a       278     0    14     1    18
  1.2294262149166926E-01 a       279     0    14     1    19
  1.6081121801136061E-01 a       280     0    14     1    20
 -1.4501098992361219E-01 a       281     0    15     1     1
 -8.1315353315597638E-02 a       282     0    15     1     2
  4.2816754707739751E-01 a       283     0    15     1     3
  3.5629350636436968E-01 a       284     0    15     1     4
 -1.1886502941050436E-02 a       285     0    15     1     5
  6.4408749302208870E-02 a       286     0    15     1     6
  8.4961426873811988E-02 a       287     0    15     1     7
 -1.3813613890548859E-01 a       288     0    15     1     8
 -1.7267634445154317E-01 a       289     0    15     1     9
  2.3523286798790646E-02 a       290     0    15     1    10
  3.3573431145572086E-01 a       291     0    15     1    11
  1.9196599703660153E-01 a       292     0    15     1    12
  6.0536947432674704E-01 a       293     0    15     1    13
  5.9956398726809502E-02 a       294     0    15     1    14
  8.5254622061476146E-02 a       295     0    15     1    15
 -2.9745287442874718E-01 a       296     0    15     1    16
  1.0342023111736875E-01 a       297     0    15     1    17
  6.8125306760879370E-02 a       298     0    15     1    18
 -2.4132439425517663E-01 a       299     0    15     1    19
  1.7777127785501920E-01 a       300     0    15     1    20
  2.9080296328055888E-01 a       301     0    16     1     1
  2.7018463506630075E-01 a       302     0    16     1     2
 -2.3659306893107387E-01 a       303     0    16     1     3
  1.7841970811762556E-01 a       304     0    16     1     4
 -3.2820377016220842E-02 a       305     0    16     1     5
  3.7956886726114823E-02 a       306     0    16     1     6
